overall,metric,count,mean,median,std,iqr,q25,q75,improvement_rate,wilcoxon_p_value,n,p
,delta_expected_feasible_energy,10,-0.3812056984513541,-0.23189602361435485,0.39172368623168224,0.27975357110082955,-0.3915056399638948,-0.11175206886306525,1.0,0.0009765625,12.0,0.1
,delta_feasible_energy_variance,10,-0.16695475889836828,-0.0565815011011118,0.2542581761599882,0.22881042614445213,-0.2135005282617055,0.015309897882746629,0.7,0.0185546875,12.0,0.1
,delta_p_feas,10,0.156560426496974,0.1605856842796585,0.018704044865683483,0.028416279553067553,0.14408748031866234,0.1725037598717299,1.0,0.0009765625,12.0,0.1
,delta_energy,10,-0.704566443451103,-0.6145652351938278,0.3135211176784198,0.3673114807341469,-0.8940314059245095,-0.5267199251903626,1.0,0.0009765625,12.0,0.3
,delta_energy_variance,10,-0.4990224039055984,-0.5187915161849317,0.17019345176430273,0.1251803169983402,-0.5525278584603334,-0.42734754146199316,1.0,0.0009765625,12.0,0.3
,delta_p_ground,10,0.49018967163698146,0.44473842731708907,0.2242950517810075,0.28587335000698616,0.35741153051128455,0.6432848805182707,1.0,0.0009765625,12.0,0.3
,delta_expected_feasible_energy,10,-0.6208207753319924,-0.5437942264499671,0.2957650875337207,0.33771925806813224,-0.7868384720770469,-0.4491192140089147,1.0,0.0009765625,12.0,0.3
,delta_feasible_energy_variance,10,-0.34175362843338986,-0.34677952865320383,0.1619025944761925,0.11084858258880464,-0.38038847712323753,-0.2695398945344329,1.0,0.0009765625,12.0,0.3
,delta_p_feas,10,0.040244301951470406,0.035235288432895404,0.01940069415962662,0.02159018871808255,0.026377399893114575,0.047967588611197126,1.0,0.0009765625,12.0,0.3
,delta_energy,10,-0.4938291983541312,-0.40803178878639956,0.3362408165314639,0.29981492149610417,-0.5399010935534617,-0.24008617205735755,1.0,0.0009765625,12.0,0.5
,delta_energy_variance,10,-0.3917229949883725,-0.31623068901968865,0.2379893183059993,0.15337310604506327,-0.4166082401716781,-0.2632351341266148,1.0,0.0009765625,12.0,0.5
,delta_p_ground,10,0.34495702297827024,0.2956030575347087,0.2163449852136039,0.2225419633368417,0.17235901410927387,0.3949009774461156,1.0,0.0009765625,12.0,0.5
,delta_expected_feasible_energy,10,-0.4539671199328568,-0.3879401760583807,0.3070733621626092,0.26531038063674833,-0.49801963806444605,-0.2327092574276977,1.0,0.0009765625,12.0,0.5
,delta_feasible_energy_variance,10,-0.3346868735381122,-0.27898216469952825,0.2015297799359172,0.14153427498193355,-0.3607299184158749,-0.21919564343394132,1.0,0.0009765625,12.0,0.5
,delta_p_feas,10,0.027916193970212878,0.02595887401057065,0.02363760359738838,0.017144483923298023,0.020001315832257727,0.03714579975555575,0.9,0.0029296875,12.0,0.5
